60170164,"amenity=restaurant,shop=books",-317025.581738352,4465886.51709074
294123517,"shop=mall,name:en=Ginza Shopping Center",-318663.261906597,4466910.84381712
294123545,"shop=convenience,name:en=Hahajing Convenient Store",-319132.598822826,4467038.03360462
371015968,"shop=supermarket",-317875.327857566,4466418.36527665
371024207,"shop=supermarket",-318502.786994289,4466222.6165056
374448850,"shop=car",-316939.831184596,4467234.0130042
598799716,"shop=supermarket",-317437.199762461,4466122.23502414
724188094,"shop=supermarket",-317176.268279359,4467125.33951662
738255054,"shop=supermarket",-325808.037574999,4465892.86033332
748859853,"shop=supermarket",-329717.478295191,4468595.93933267
819773004,"shop=convenience",-317178.964986468,4467108.9660149
820094091,"shop=supermarket",-317074.522195858,4466382.01697608
820842291,"shop=supermarket",-316959.737537982,4467112.96798512
973328223,"shop=supermarket,name:en=Meilianmei",-322867.462328465,4468631.6767198
974784335,"shop=department_store",-321075.525514487,4462645.31642484
978266240,"shop=supermarket,name:en=Wu Mart",-329922.134407755,4467772.30983941
984101834,"shop=convenience,name:en=7-Eleven",-319847.27964016,4461715.6124833
984103146,"shop=supermarket",-319656.322319709,4461655.99829249
984106224,"shop=supermarket",-319791.688828766,4461541.56365201
984106619,"shop=clothes",-319809.899933585,4461670.02631671
984111786,"shop=supermarket",-319713.653024036,4461660.06190369
995935223,"shop=mall,name:en=Glory Mall",-320562.01000009,4462364.73235169
995935816,"shop=mall,name:en=Soshow",-320586.466756674,4462227.85709837
995936054,"shop=books,name:en=Xinhua Bookstore",-320566.052023317,4462270.57716466
995939193,"shop=convenience,name:en=7-Eleven",-319661.939986313,4462214.91236346
995942259,"shop=market",-319606.403618428,4462117.35312238
1292883538,"shop=clothes",-326751.667958621,4467553.55032524
1292883539,"shop=clothes",-326918.061979625,4467543.86553122
1317203382,"shop=laundry",-317031.221243692,4464014.38129688
1325598419,"shop=mall",-320614.810152333,4461045.37450593
1419898257,"shop=kiosk",-322533.874047812,4462735.81473397
1423628586,"shop=supermarket",-317754.356298729,4459371.76682473
1450499033,"shop=convenience",-321696.476941375,4459777.87220665
1469153493,"shop=supermarket",-324261.629379241,4465378.83328209
1485571254,"shop=supermarket",-325632.779665523,4458017.46407118
1485573298,"shop=clothes",-325650.512405127,4458057.91299191
1485601271,"shop=supermarket",-325999.246733485,4457076.14058684
1555209382,"shop=hairdresser",-321399.454586901,4468015.50268726
1592319245,"shop=books,name:en=Beijing Foreign Languages Bookstore",-321105.099159909,4464349.23548692
1655437514,"shop=supermarket",-324096.043628136,4468307.08706313
1655437698,"shop=clothes,name:en=Xinhua Department Store",-324093.040949109,4468368.82897754
1672901483,"shop=supermarket",-319490.562447441,4461820.42042581
1678269094,"shop=gift",-326870.476797526,4469006.87165162
1683647749,"shop=convenience",-316975.650253314,4464012.70728907
1683647782,"shop=convenience",-316998.187841675,4464030.19410725
1690159081,"shop=supermarket",-332690.631073857,4468879.9956766
1707501893,"shop=supermarket",-320720.763897471,4464747.9707069
1709501601,"shop=supermarket",-326544.777554923,4460729.29023549
1709525125,"shop=supermarket",-325710.55298283,4464162.3508887
1709525132,"shop=mall",-325707.38742088,4464079.55929481
1721482737,"shop=kiosk",-325847.367855667,4467858.25323911
1721502346,"shop=books",-326392.422939627,4463097.83498322
1721555325,"shop=convenience",-326694.3895592,4463190.60230001
1742670813,"shop=supermarket",-325514.799537636,4461681.46423105
1748294888,"shop=convenience",-324589.453691883,4468327.51567868
1790162872,"shop=kiosk",-329550.578745588,4466535.75828914
